Fund_Type,Fund_Manager,DBPedia_Fund_Manager,DBPediaURI_Fund_Manager,DBPediaData_Fund_Manager,Fund_Name,Fund_Contact,Fund_Contact_Telephone,Fund_Projected_Equity,Fund_Equity_Raised,Fund_Equity_Invested,Fund_Target_IRR,Fund_Minimum_IRR,Fund_Asset_Classes,Fund_Target_Locations,Fund_Data_Date,Fund_Data_Year,Fund_Currency
Core,AEW Capital,,,,AEW Senior Housing Investors 2,Chris Kazantis,617-261-9360,"300,000,000","114,000,000","13,000,000",10-12,0.10,Senior Housing,United States,3/1/13,2013,USD
Core,AEW Capital,,,,AEW Senior Housing Investors,Chris Kazantis,617-261-9360,"188,000,000","188,000,000","116,000,000",10-12,0.10,Senior Housing,United States,1/11/12,2012,
Core,AEW Capital,,,,AEW Value Investors 3,Robert Plumb,617-261-9325,"350,000,000",0,0,10+,0.10,Office,United States,1/11/12,2012,
Core,"Angelo, Gordon & Co.","Angelo, Gordon & Co.","http://live.dbpedia.org/resource/Angelo,_Gordon_&_Co.","http://live.dbpedia.org/data/Angelo,_Gordon_&_Co..json",AG Core Plus Realty Fund 3,Adam Schwartz,212-692-2059,"1,014,000,000","1,014,000,000","422,000,000",12,0.12,"Office, Lodging, Residential, Multifamily, Residential, Niche","United States, Europe, Asia",3/1/13,2013,USD
Core,"Angelo, Gordon & Co.","Angelo, Gordon & Co.","http://live.dbpedia.org/resource/Angelo,_Gordon_&_Co.","http://live.dbpedia.org/data/Angelo,_Gordon_&_Co..json",AG Core Plus Realty Fund 3,Adam Schwartz,212-692-2059,"1,000,000,000","200,000,000",,12,0.12,"Office, Multifamily, Retail, Lodging, Self Storage","Western United States, Los Angeles, San Francisco, Seattle, San Diego",1/11/12,2012,
Core,"Angelo, Gordon & Co.","Angelo, Gordon & Co.","http://live.dbpedia.org/resource/Angelo,_Gordon_&_Co.","http://live.dbpedia.org/data/Angelo,_Gordon_&_Co..json",AG Core Plus Realty Fund 3,Adam Schwartz,212-692-2059,"1,000,000,000","780,000,000","200,000,000",,,"Office, Multifamily, Retail","United States, Europe, Asia",1/11/12,2012,
Core,"Angelo, Gordon & Co.","Angelo, Gordon & Co.","http://live.dbpedia.org/resource/Angelo,_Gordon_&_Co.","http://live.dbpedia.org/data/Angelo,_Gordon_&_Co..json",AG Net Lease Realty Fund 2,Gordon Whiting,212-883-4157,"560,000,000","560,000,000","140,000,000",10-12,0.10,Office,United States,1/11/12,2012,
Core,"Angelo, Gordon & Co.","Angelo, Gordon & Co.","http://live.dbpedia.org/resource/Angelo,_Gordon_&_Co.","http://live.dbpedia.org/data/Angelo,_Gordon_&_Co..json",AG Net Lease Realty Fund 2,Gordon Whiting,212-883-4157,"560,000,000","560,000,000","297,000,000",10-12,0.10,"Office, Retail","United States, Canada",1/11/12,2012,
Core,Berkshire Property Advisors,,,,Berkshire Multifamily Value Fund 3,David Olney,617-646-2300,"400,000,000","169,000,000",0,11,0.11,Multifamily,United States,3/1/13,2013,USD
Core,Berkshire Property Advisors,,,,Berkshire Multifamily Value Fund 3,David Olney,617-646-2300,"400,000,000",0,0,11-13,0.11,Multifamily,United States,1/11/12,2012,
Core,Bristol Group,,,,Bristol Industrial 2,Jim Curtis,415-398-1022,"150,000,000","150,000,000","50,000,000",9-12,0.09,Industrial,United States,3/1/13,2013,USD
Core,Bristol Group,,,,Bristol Industrial 2,Jim Curtis,415-398-1022,"150,000,000","150,000,000","50,000,000",9-12,0.09,Industrial,United States,1/11/12,2012,
Core,Bristol Group,,,,Bristol Industrial 2,Jim Curtis,415-398-1022,"250,000,000","150,000,000",,9-12,0.09,Industrial,Texas,1/11/12,2012,
Core,Brookfield Asset Management,Brookfield Asset Management,http://live.dbpedia.org/resource/Brookfield_Asset_Management,http://live.dbpedia.org/data/Brookfield_Asset_Management.json,Brookfield Core-Plus Office Fund,Scott White,212-417-2578,"1,000,000,000",0,0,10,0.10,Office,United States,3/1/13,2013,USD
Core,Brookfield Asset Management,Brookfield Asset Management,http://live.dbpedia.org/resource/Brookfield_Asset_Management,http://live.dbpedia.org/data/Brookfield_Asset_Management.json,Brookfield Core-Plus Office Fund,Scott White,212-417-2578,"1,000,000,000",,,10-13,0.10,Office,United States,1/11/12,2012,
