Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
91,Hakeem Akinola,http://www.kstatesports.com/sports/m-footbl/mtt/akinola_hakeem00.html,6/3/13,305,DL,JR,"Burtonsville, Md. ",Burtonsville,MD,Paint Branch High School,Fullerton College,,,,Kansas State University,2012-2013
51,Trace Armstrong,http://www.kstatesports.com/sports/m-footbl/mtt/armstrong_trace00.html,6/1/13,186,LB,FR,"Shelton, Neb. ",Shelton,NEB,Raveena High School,,,,,Kansas State University,2012-2013
70,Will Ash,http://www.kstatesports.com/sports/m-footbl/mtt/ash_will00.html,6/2/13,352,OL,FR,"Indianapolis, Ind. ",Indianapolis,IND,Cathedral High School,,,,,Kansas State University,2012-2013
22,Dante Barnett,http://www.kstatesports.com/sports/m-footbl/mtt/barnett_dante00.html,6/1/13,186,DB,FR,"Tulsa, Okla. ",Tulsa,OKLA,Booker T. Washington High School,,,,,Kansas State University,2012-2013
25,Joseph Bonugli,http://www.kstatesports.com/sports/m-footbl/mtt/bonugli_joseph00.html,6/1/00,188,DB,SO,"San Antonio, Texas ",San Antonio,TEXAS,Warren High School,,,,,Kansas State University,2012-2013
99,Javonta Boyd,http://www.kstatesports.com/sports/m-footbl/mtt/boyd_javonta00.html,6/2/13,297,DL,SR,"St. Petersburg, Fla. ",St. Petersburg,FLA,Northeast High School,Butler Community College,,,,Kansas State University,2012-2013
36,Nick Briney,http://www.kstatesports.com/sports/m-footbl/mtt/briney_nick00.html,6/1/00,218,LB,SR,"Ozawkie, Kan. ",Ozawkie,KAN,Jefferson West High School,Coffeyville Community College,,,,Kansas State University,2012-2013
95,Travis Britz,http://www.kstatesports.com/sports/m-footbl/mtt/britz_travis00.html,6/4/13,290,DL,FR,"Harrisonville, Mo. ",Harrisonville,MO,Harrisonville High School,,,,,Kansas State University,2012-2013
4,Arthur Brown,http://www.kstatesports.com/sports/m-footbl/mtt/brown_arthur00.html,6/1/13,231,LB,SR,"Wichita, Kan. ",Wichita,KAN,Miami High School,,,,,Kansas State University,2012-2013
27,Ed Brown,http://www.kstatesports.com/sports/m-footbl/mtt/brown_ed00.html,6/1/00,185,DB,SO,"Bradenton, Fla. ",Bradenton,FLA,Bradenton Prep High School,,,,,Kansas State University,2012-2013
45,Marquel Bryant,http://www.kstatesports.com/sports/m-footbl/mtt/bryant_marquel00.html,6/3/13,239,DE,RS FR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,Kansas State University,2012-2013
33,Morgan Burns,http://www.kstatesports.com/sports/m-footbl/mtt/burns_morgan00.html,5/11/13,195,DB,FR,"Wichita, Kan. ",Wichita,KAN,Trinity Academy High School,,,,,Kansas State University,2012-2013
84,Deante Burton,http://www.kstatesports.com/sports/m-footbl/mtt/burton_deante00.html,6/2/13,200,WR,FR,"Manhattan, Kan. ",Manhattan,KAN,Manhattan High School,,,,,Kansas State University,2012-2013
10,Anthony Cantele,http://www.kstatesports.com/sports/m-footbl/mtt/cantele_anthony00.html,5/10/13,183,PK,SR,"Wichita, Kan. ",Wichita,KAN,Kapaun Mt. Carmel High School,,,,,Kansas State University,2012-2013
14,Jack Cantele,http://www.kstatesports.com/sports/m-footbl/mtt/cantele_jack00.html,6/1/00,193,PK,RS FR,"Wichita, Kan. ",Wichita,KAN,Kapaun Mt. Carmel High School,,,,,Kansas State University,2012-2013
3,Allen Chapman,http://www.kstatesports.com/sports/m-footbl/mtt/chapman_allen00.html,5/11/13,176,DB,SR,"San Francisco, Calif. ",San Francisco,CALIF,Oak Grove High School,City College of SF,,,,Kansas State University,2012-2013
26,Jarell Childs,http://www.kstatesports.com/sports/m-footbl/mtt/childs_jarell00.html,6/2/13,230,LB,SR,"Kansas City, Mo. ",Kansas City,MO,Oak Park High School,,,,,Kansas State University,2012-2013
75,Ellwood Clement,http://www.kstatesports.com/sports/m-footbl/mtt/clement_ellwood00.html,6/5/13,310,OL,JR,"Deptford, N.J. ",Deptford,NJ,Deptford Township High School,Eastern Arizona Community College,,,,Kansas State University,2012-2013
18,Jonathan Coleman,http://www.kstatesports.com/sports/m-footbl/mtt/coleman_jonathan00.html,6/1/13,205,DB,RS FR,"Mesquite, Texas ",Mesquite,TEXAS,Poteet High School,,,,,Kansas State University,2012-2013
46,Dalton Converse,http://www.kstatesports.com/sports/m-footbl/mtt/converse_dalton00.html,5/11/13,221,LS,SO,"Clay Center, Kan. ",Clay Center,KAN,Clay Center High School,,,,,Kansas State University,2012-2013
68,William Cooper,http://www.kstatesports.com/sports/m-footbl/mtt/cooper_william00.html,6/4/13,297,OL,JR,"Hayti, Mo. ",Hayti,MO,Hayti High School,,,,,Kansas State University,2012-2013
58,Myles Copeland,http://www.kstatesports.com/sports/m-footbl/mtt/copeland_myles00.html,6/1/00,217,LB,FR,"Wichita, Kan. ",Wichita,KAN,Wichita Collegiate High School,,,,,Kansas State University,2012-2013
57,Colborn Couchman,http://www.kstatesports.com/sports/m-footbl/mtt/couchman_colborn00.html,6/2/13,192,LB,FR,"Scott City, Kan. ",Scott City,KAN,Scott Community High School,,,,,Kansas State University,2012-2013
7,Kip Daily,http://www.kstatesports.com/sports/m-footbl/mtt/daily_kip00.html,5/11/13,181,DB,RS JR,"College Station, Texas ",College Station,TEXAS,A&M_Consolidated High School,Blinn College,,,,Kansas State University,2012-2013
55,Adam Davis,http://www.kstatesports.com/sports/m-footbl/mtt/davis_adam00.html,6/1/00,247,DE,SR,"Folkston, Ga. ",Folkston,GA,Charlton County High School,Hutchinson Community College,,,,Kansas State University,2012-2013
49,Will Davis,http://www.kstatesports.com/sports/m-footbl/mtt/davis_will00.html,6/1/00,214,LB,FR,"Southlake, Texas ",Southlake,TEXAS,Carroll High School,,,,,Kansas State University,2012-2013
9,Ryan Doerr,http://www.kstatesports.com/sports/m-footbl/mtt/doerr_ryan00.html,6/3/13,189,P,SR,"Katy, Texas ",Katy,TEXAS,South Carolina High School,,,,,Kansas State University,2012-2013
71,Ethan Douglas,http://www.kstatesports.com/sports/m-footbl/mtt/douglas_ethan00.html,6/6/13,319,OL,SR,"Basehor, Kan. ",Basehor,KAN,Basehor Linwood High School,,,,,Kansas State University,2012-2013
90,Laton Dowling,http://www.kstatesports.com/sports/m-footbl/mtt/dowling_laton00.html,6/2/13,245,DL,SO,"Dodge City, Kan. ",Dodge City,KAN,Dodge City High School,,,,,Kansas State University,2012-2013
27,Brad Duncan,http://www.kstatesports.com/sports/m-footbl/mtt/duncan_brad00.html,6/1/13,234,FB,SO,"Westmoreland, Kan. ",Westmoreland,KAN,Rock Creek High School,,,,,Kansas State University,2012-2013
72,Aderius Epps,http://www.kstatesports.com/sports/m-footbl/mtt/epps_aderius00.html,6/1/13,321,OL,FR,"Cedar Hill, Texas ",Cedar Hill,TEXAS,Cedar Hill High School,,,,,Kansas State University,2012-2013
15,Randall Evans,http://www.kstatesports.com/sports/m-footbl/mtt/evans_randall00.html,6/1/00,190,DB,SO,"Miami, Fla. ",Miami,FLA,Palmetto High School,,,,,Kansas State University,2012-2013
5,Thomas Ferguson,http://www.kstatesports.com/sports/m-footbl/mtt/ferguson_thomas00.html,6/1/00,202,DB,SR,"Grand Prairie, Texas ",Grand Prairie,TEXAS,South High School,,,,,Kansas State University,2012-2013
32,Roman Fields,http://www.kstatesports.com/sports/m-footbl/mtt/fields_roman00.html,5/10/13,204,LB,SR,"Kansas City, Kan. ",Kansas City,KAN,Christ Prep Academy High School,,,,,Kansas State University,2012-2013
41,Seth Filbert,http://www.kstatesports.com/sports/m-footbl/mtt/filbert_seth00.html,5/11/13,165,RB,FR,"Macksville, Kan. ",Macksville,KAN,Macksville High School,,,,,Kansas State University,2012-2013
94,Alauna Finau,http://www.kstatesports.com/sports/m-footbl/mtt/finau_alauna00.html,6/1/13,245,DE,JR,"Compton, Calif. ",Compton,CALIF,Dominguez High School,Cerritos College,,,,Kansas State University,2012-2013
66,BJ Finney,http://www.kstatesports.com/sports/m-footbl/mtt/finney_bj00.html,6/4/13,303,OL,SO,"Andale, Kan. ",Andale,KAN,Andale High School,,,,,Kansas State University,2012-2013
29,Kent Gainous,http://www.kstatesports.com/sports/m-footbl/mtt/gainous_kent00.html,6/1/13,190,DB,JR,"Orlando, Fla. ",Orlando,FLA,Trinity Valley High School,,,,,Kansas State University,2012-2013
73,Xavier Gates,http://www.kstatesports.com/sports/m-footbl/mtt/gates_xavier00.html,6/3/13,312,DT,RS FR,"Harrisburg, Pa. ",Harrisburg,PA,John Harris High School,,,,,Kansas State University,2012-2013
54,Taylor Godinet,http://www.kstatesports.com/sports/m-footbl/mtt/godinet_taylor00.html,6/3/13,237,DE,SO,"Wamego, Kan. ",Wamego,KAN,Wamego High School,,,,,Kansas State University,2012-2013
42,William Green,http://www.kstatesports.com/sports/m-footbl/mtt/green_william00.html,6/3/13,262,TE,RS JR,"Woodbridge, Conn. ",Woodbridge,CONN,Seymore High School,Highland Community College,,,,Kansas State University,2012-2013
48,Glenn Gronkowski,http://www.kstatesports.com/sports/m-footbl/mtt/gronkowski_glenn00.html,6/3/13,228,FB,FR,"Amherst, N.Y. ",Amherst,NY,Williamsville North High School,,,,,Kansas State University,2012-2013
48,Ethan Hammes,http://www.kstatesports.com/sports/m-footbl/mtt/hammes_ethan00.html,5/9/13,194,P,SO,"Seneca, Kan. ",Seneca,KAN,Nemaha Valley High School,Butler Community College,,,,Kansas State University,2012-2013
3,Chris Harper,http://www.kstatesports.com/sports/m-footbl/mtt/harper_chris00.html,6/1/13,234,WR,GR,"Wichita, Kan. ",Wichita,KAN,Northwest High School,University of Oregon,,,,Kansas State University,2012-2013
26,Cody Harrison,http://www.kstatesports.com/sports/m-footbl/mtt/harrison_cody00.html,5/6/13,160,WR,SO,"Topeka, Kan. ",Topeka,KAN,Topeka High School,,,,,Kansas State University,2012-2013
41,Logan Haug,http://www.kstatesports.com/sports/m-footbl/mtt/haug_logan01.html,6/5/13,233,DE,RS FR,"Seneca, Kan. ",Seneca,KAN,B&B High School,,,,,Kansas State University,2012-2013
63,Marcus Heit,http://www.kstatesports.com/sports/m-footbl/mtt/heit_marcus00.html,6/2/13,244,LS,JR,"Derby, Kan. ",Derby,KAN,Derby High School,,,,,Kansas State University,2012-2013
17,Weston Hiebert,http://www.kstatesports.com/sports/m-footbl/mtt/hiebert_weston00.html,6/1/00,199,DB,SO,"Canton, Kan. ",Canton,KAN,Gossel High School,,,,,Kansas State University,2012-2013
56,Wesley Hollingshed,http://www.kstatesports.com/sports/m-footbl/mtt/hollingshed_wesley00.html,6/1/13,294,DL,JR,"Atlanta, Ga. ",Atlanta,GA,Peach County High School,Trinity Valley Community College,,,,Kansas State University,2012-2013
97,Demonte Hood,http://www.kstatesports.com/sports/m-footbl/mtt/hood_demonte00.html,6/1/00,315,DL,FR,"Arlington, Texas ",Arlington,TEXAS,Bowie High School,,,,,Kansas State University,2012-2013
74,Kason Hostrup,http://www.kstatesports.com/sports/m-footbl/mtt/hostrup_kason00.html,6/4/13,286,OL,RS FR,"Sachse, Texas ",Sachse,TEXAS,Sachse High School,,,,,Kansas State University,2012-2013
34,Darnell Howard,http://www.kstatesports.com/sports/m-footbl/mtt/howard_darnell00.html,6/6/13,250,TE,SO,"Cleveland, Ohio ",Cleveland,OHIO,Glenville High School,,,,,Kansas State University,2012-2013
19,Joe Hubener,http://www.kstatesports.com/sports/m-footbl/mtt/hubener_joe00.html,6/4/13,205,QB,FR,"Cheney, Kan. ",Cheney,KAN,Cheney High School,,,,,Kansas State University,2012-2013
33,John Hubert,http://www.kstatesports.com/sports/m-footbl/mtt/hubert_john00.html,5/7/13,191,RB,JR,"Waco, Texas ",Waco,TEXAS,Midway High School,,,,,Kansas State University,2012-2013
87,Andre Jackson,http://www.kstatesports.com/sports/m-footbl/mtt/jackson_andre00.html,6/5/13,225,WR,JR,"Miami, Fla. ",Miami,FLA,Miami Norland High School,West Hills Community College,,,,Kansas State University,2012-2013
15,Sam Johnson,http://www.kstatesports.com/sports/m-footbl/mtt/johnson_sam00.html,5/11/13,215,QB,SO,"Topeka, Kan. ",Topeka,KAN,Topeka High School,,,,,Kansas State University,2012-2013
2,Stephen Johnson,http://www.kstatesports.com/sports/m-footbl/mtt/johnson_stephen00.html,5/9/13,155,WR,JR,"Fresno, Calif. ",Fresno,CALIF,Buchanan High School,,,,,Kansas State University,2012-2013
24,Charles Jones,http://www.kstatesports.com/sports/m-footbl/mtt/jones_charles00.html,5/9/13,191,RB,FR,"Mandeville, La. ",Mandeville,LA,Mandeville High School,,,,,Kansas State University,2012-2013
36,Ben Kall,http://www.kstatesports.com/sports/m-footbl/mtt/kall_ben00.html,5/9/13,228,FB,SR,"Rochester, Minn. ",Rochester,MINN,John Marshall High School,,,,,Kansas State University,2012-2013
39,Austin Katsorelos,http://www.kstatesports.com/sports/m-footbl/mtt/katsorelos_austin00.html,6/1/13,229,FB,FR,"Leawood, Kan. ",Leawood,KAN,Blue Valley High School,,,,,Kansas State University,2012-2013
7,Collin Klein,http://www.kstatesports.com/sports/m-footbl/mtt/klein_collin00.html,6/5/13,226,QB,SR,"Loveland, Colo. ",Loveland,COLO,Loveland High School,,,,,Kansas State University,2012-2013
81,Kyle Klein,http://www.kstatesports.com/sports/m-footbl/mtt/klein_kyle00.html,6/3/13,210,WR,RS FR,"Loveland, Colo. ",Loveland,COLO,Loveland High School,,,,,Kansas State University,2012-2013
65,Matt Kleinsorge,http://www.kstatesports.com/sports/m-footbl/mtt/kleinsorge_matt00.html,6/5/13,300,OL,RS FR,"Olathe, Kan. ",Olathe,KAN,Olathe South High School,,,,,Kansas State University,2012-2013
6,Brandon Klimek,http://www.kstatesports.com/sports/m-footbl/mtt/klimek_brandon00.html,5/11/13,184,PK,SR,"Manhattan, Kan. ",Manhattan,KAN,Manhattan High School,,,,,Kansas State University,2012-2013
38,Mark Krause,http://www.kstatesports.com/sports/m-footbl/mtt/krause_mark00.html,5/11/13,204,P,RS SO,"Kearney, Mo. ",Kearney,MO,Kearney High School,Missouri Southern State University,,,,Kansas State University,2012-2013
28,Jarvis Leverett,http://www.kstatesports.com/sports/m-footbl/mtt/leverett_jarvis00.html,5/11/13,203,RB,FR,"Katy, Texas ",Katy,TEXAS,Cypress Lake High School,,,,,Kansas State University,2012-2013
61,Drew Liddle,http://www.kstatesports.com/sports/m-footbl/mtt/liddle_drew00.html,6/3/13,288,OL,SO,"Oak Grove, Mo. ",Oak Grove,MO,Grain Valley High School,,,,,Kansas State University,2012-2013
16,Tyler Lockett,http://www.kstatesports.com/sports/m-footbl/mtt/lockett_tyler00.html,5/11/13,175,WR,SO,"Tulsa, Okla. ",Tulsa,OKLA,Booker T. Washington High School,,,,,Kansas State University,2012-2013
82,Evan Loomis,http://www.kstatesports.com/sports/m-footbl/mtt/loomis_evan00.html,6/2/13,216,WR,JR,"Macksville, Kan. ",Macksville,KAN,Macksville High School,Dodge City Community College,,,,Kansas State University,2012-2013
47,Jared Loomis,http://www.kstatesports.com/sports/m-footbl/mtt/loomis_jared00.html,6/1/00,230,LB,SR,"Macksville, Kan. ",Macksville,KAN,Macksville High School,Dodge City Community College,,,,Kansas State University,2012-2013
78,Cornelius Lucas,http://www.kstatesports.com/sports/m-footbl/mtt/lucas_cornelius00.html,6/9/13,324,OL,JR,"New Orleans, La. ",New Orleans,LA,Edna Karr High School,,,,,Kansas State University,2012-2013
92,Vai Lutui,http://www.kstatesports.com/sports/m-footbl/mtt/lutui_vai00.html,6/2/13,299,DT,SR,"Salt Lake City, Utah ",Salt Lake City,UTAH,West High School,Mt. San Antonio Community College,,,,Kansas State University,2012-2013
24,Nigel Malone,http://www.kstatesports.com/sports/m-footbl/mtt/malone_nigel00.html,5/10/13,180,DB,SR,"Manteca, Calif. ",Manteca,CALIF,Sierra High School,City College of SF,,,,Kansas State University,2012-2013
32,Michael Mann,http://www.kstatesports.com/sports/m-footbl/mtt/mann_michael00.html,5/10/13,168,DB,FR,"Aledo, Texas ",Aledo,TEXAS,Aledo High School,,,,,Kansas State University,2012-2013
64,Tomasi Mariner,http://www.kstatesports.com/sports/m-footbl/mtt/mariner_tomasi00.html,6/3/13,329,OL,SO,"Topeka, Kan. ",Topeka,KAN,Washburn Rural High School,,,,,Kansas State University,2012-2013
18,Andre McDonald,http://www.kstatesports.com/sports/m-footbl/mtt/mcdonald_andre00.html,6/8/13,283,TE,JR,"Choctaw, Okla. ",Choctaw,OKLA,Choctaw High School,,,,,Kansas State University,2012-2013
22,Zach McFall,http://www.kstatesports.com/sports/m-footbl/mtt/mcfall_zach00.html,6/1/00,186,WR,SR,"Manhattan, Kan. ",Manhattan,KAN,Sierra High School,Fort Scott Community College,,,,Kansas State University,2012-2013
19,Carl Miles Jr.,http://www.kstatesports.com/sports/m-footbl/mtt/milesjr_carl00.html,5/11/13,191,DB,JR,"Miami, Fla. ",Miami,FLA,Cypress Bay High School,Georgia Institute of Technology,,,,Kansas State University,2012-2013
88,Torell Miller,http://www.kstatesports.com/sports/m-footbl/mtt/miller_torell00.html,6/2/13,214,WR,JR,"New Orleans, La. ",New Orleans,LA,O. Perry Walker High School,,,,,Kansas State University,2012-2013
23,Jarard Milo,http://www.kstatesports.com/sports/m-footbl/mtt/milo_jarard00.html,6/2/13,197,DB,SR,"Olathe, Kan. ",Olathe,KAN,Olathe North High School,Butler County Community College,,,,Kansas State University,2012-2013
52,Mike Moore,http://www.kstatesports.com/sports/m-footbl/mtt/moore_mike00.html,6/1/13,213,LB,FR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,Kansas State University,2012-2013
39,Cameron Morgan,http://www.kstatesports.com/sports/m-footbl/mtt/morgan_cameron00.html,5/9/13,185,DB,FR,"Omaha, Neb. ",Omaha,NEB,Westside High School,,,,,Kansas State University,2012-2013
44,Ryan Mueller,http://www.kstatesports.com/sports/m-footbl/mtt/mueller_ryan00.html,6/1/13,240,DE,SO,"Leawood, Kan. ",Leawood,KAN,St. Thomas Aquinas High School,,,,,Kansas State University,2012-2013
10,Lucas Munds,http://www.kstatesports.com/sports/m-footbl/mtt/munds_lucas00.html,6/2/13,196,WR,FR,"Hutchinson, Kan. ",Hutchinson,KAN,Hutchinson High School,,,,,Kansas State University,2012-2013
89,Zach Nemechek,http://www.kstatesports.com/sports/m-footbl/mtt/nemechek_zach00.html,6/3/13,249,FB,SO,"Quinter, Kan. ",Quinter,KAN,Quinter High School,,,,,Kansas State University,2012-2013
59,Aaron Norris,http://www.kstatesports.com/sports/m-footbl/mtt/norris_aaron00.html,6/1/00,234,LB,RS FR,"Littleton, Colo. ",Littleton,COLO,Chatfield High School,,,,,Kansas State University,2012-2013
69,Logan O'Dea,http://www.kstatesports.com/sports/m-footbl/mtt/odea_logan00.html,5/10/13,254,DL,FR,"Wellsville, Kan. ",Wellsville,KAN,Wellsville High School,,,,,Kansas State University,2012-2013
40,Ian Patterson,http://www.kstatesports.com/sports/m-footbl/mtt/patterson_ian00.html,5/11/13,233,PK,FR,"Columbia, Mo. ",Columbia,MO,Rock Bridge High School,,,,,Kansas State University,2012-2013
8,Angelo Pease,http://www.kstatesports.com/sports/m-footbl/mtt/pease_angelo00.html,5/11/13,215,RB,SR,"Cairo, Ga. ",Cairo,GA,Cairo High School,Hutchinson Community College,,,,Kansas State University,2012-2013
43,Matt Pestinger,http://www.kstatesports.com/sports/m-footbl/mtt/pestinger_matt00.html,6/3/13,243,TE,JR,"Beloit, Kan. ",Beloit,KAN,Beloit High School,,,,,Kansas State University,2012-2013
50,Nick Puetz,http://www.kstatesports.com/sports/m-footbl/mtt/pestinger_matt00.html,6/3/13,304,OL,SR,"Salina, Kan. ",Salina,KAN,Beloit High School,University of Wyoming,,,,Kansas State University,2012-2013
98,Chaquil Reed,http://www.kstatesports.com/sports/m-footbl/mtt/reed_chaquil00.html,6/3/13,290,DL,JR,"Wichita, Kan. ",Wichita,KAN,East High School,Butler Community College,,,,Kansas State University,2012-2013
30,Dorrian Roberts,http://www.kstatesports.com/sports/m-footbl/mtt/roberts_dorrian00.html,5/10/13,165,DB,RS JR,"Wichita, Kan. ",Wichita,KAN,Wichita Heights High School,Hutchinson Community College,,,,Kansas State University,2012-2013
20,DeMarcus Robinson,http://www.kstatesports.com/sports/m-footbl/mtt/robinson_demarcus00.html,5/6/13,206,RB,SO,"Wichita, Kan. ",Wichita,KAN,Northwest High School,,,,,Kansas State University,2012-2013
73,Tavon Rooks,http://www.kstatesports.com/sports/m-footbl/mtt/rooks_tavon00.html,6/5/13,272,OL,JR,"Randallstown, Md. ",Randallstown,MD,Woodlawn High School,Navarro Junior College,,,,Kansas State University,2012-2013
5,Robert Rose,http://www.kstatesports.com/sports/m-footbl/mtt/rose_robert00.html,5/4/13,174,RB,JR,"Miami, Fla. ",Miami,FLA,Miami Springs High School,,,,,Kansas State University,2012-2013
4,Daniel Sams,http://www.kstatesports.com/sports/m-footbl/mtt/sams_daniel00.html,6/2/13,204,QB,RS FR,"Slidell, La. ",Slidell,LA,Salmen High School,,,,,Kansas State University,2012-2013
40,Dylan Schellenberg,http://www.kstatesports.com/sports/m-footbl/mtt/schellenberg_dylan00.html,6/1/00,189,DB,SO,"Wichita, Kan. ",Wichita,KAN,Maize High School,Butler Community College,,,,Kansas State University,2012-2013
43,Wyatt Schroeder,http://www.kstatesports.com/sports/m-footbl/mtt/schroeder_wyatt00.html,6/5/13,214,DE,FR,"Lincoln, Kan. ",Lincoln,KAN,Lincoln High School,,,,,Kansas State University,2012-2013
