Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
1,Tony Jefferson,http://www.soonersports.com/sports/m-footbl/mtt/jefferson_tony00.html,5/11/13,212,DB,JR,"Chula Vista, Calif. ",Chula Vista,CALIF,Eastlake High School,,,,,University of Oklahoma,2012-2013
2,Julian Wilson,http://www.soonersports.com/sports/m-footbl/mtt/wilson_julian00.html,6/2/13,191,DB,SO,"Moore, Okla. ",Moore,OKLA,Southmoore High School,,,,,University of Oklahoma,2012-2013
3,Sterling Shepard,http://www.soonersports.com/sports/m-footbl/mtt/shepard_sterling00.html,5/10/13,188,WR,FR,"Oklahoma City, Okla. ",Oklahoma City,OKLA,Heritage Hall High School,,,,,University of Oklahoma,2012-2013
4,Kenny Stills,http://www.soonersports.com/sports/m-footbl/mtt/stills_kenny00.html,6/1/13,190,WR,JR,"Encinitas, Calif. ",Encinitas,CALIF,La Costa Canyon High School,,,,,University of Oklahoma,2012-2013
5,Joseph Ibiloye,http://www.soonersports.com/sports/m-footbl/mtt/ibiloye_joseph00.html,6/3/13,218,LB,SR,"Garland, Texas ",Garland,TEXAS,South Garland High School,,,,,University of Oklahoma,2012-2013
6,Demontre Hurst,http://www.soonersports.com/sports/m-footbl/mtt/hurst_demontre00.html,5/10/13,183,DB,SR,"Lancaster, Texas ",Lancaster,TEXAS,Lancaster High School,,,,,University of Oklahoma,2012-2013
7,Corey Nelson,http://www.soonersports.com/sports/m-footbl/mtt/nelson_corey00.html,6/1/13,219,LB,JR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,University of Oklahoma,2012-2013
8,Joe Powell,http://www.soonersports.com/sports/m-footbl/mtt/powell_joe00.html,6/1/00,173,DB,JR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,University of Oklahoma,2012-2013
8,Dominique Whaley,http://www.soonersports.com/sports/m-footbl/mtt/whaley_dominique00.html,5/11/13,204,RB,SR,"Lawton, Okla. ",Lawton,OKLA,MacArthur High School,Langston University,,,,University of Oklahoma,2012-2013
9,Gabe Lynn,http://www.soonersports.com/sports/m-footbl/mtt/lynn_gabe00.html,6/1/00,199,DB,JR,"Tulsa, Okla. ",Tulsa,OKLA,Jenks High School,,,,,University of Oklahoma,2012-2013
9,Trevor Knight,http://www.soonersports.com/sports/m-footbl/mtt/knight_trevor00.html,6/1/13,197,QB,FR,"San Antonio, Texas ",San Antonio,TEXAS,Reagan High School,,,,,University of Oklahoma,2012-2013
10,Rashod Favors,http://www.soonersports.com/sports/m-footbl/mtt/favors_rashod00.html,6/1/13,250,DE,SO,"Fort Worth, Texas ",Fort Worth,TEXAS,Dunbar High School,,,,,University of Oklahoma,2012-2013
10,Blake Bell,http://www.soonersports.com/sports/m-footbl/mtt/bell_blake00.html,6/6/13,254,QB,SO,"Wichita, Kan. ",Wichita,KAN,Bishop Carroll High School,,,,,University of Oklahoma,2012-2013
11,R.J. Washington,http://www.soonersports.com/sports/m-footbl/mtt/washington_rj00.html,6/3/13,256,DE,SR,"Fort Worth, Texas ",Fort Worth,TEXAS,Keller Fossil Ridge High School,,,,,University of Oklahoma,2012-2013
11,Kendal Thompson,http://www.soonersports.com/sports/m-footbl/mtt/thompson_kendal00.html,6/1/13,184,QB,RS FR,"Oklahoma City, Okla. ",Oklahoma City,OKLA,Southmoore High School,,,,,University of Oklahoma,2012-2013
12,Landry Jones,http://www.soonersports.com/sports/m-footbl/mtt/jones_landry00.html,6/4/13,218,QB,SR,"Artesia, N.M. ",Artesia,NM,Artesia High School,,,,,University of Oklahoma,2012-2013
13,Tyler Anderson,http://www.soonersports.com/sports/m-footbl/mtt/anderson_tyler00.html,6/2/13,210,LB,FR,"Magnolia, Texas ",Magnolia,TEXAS,Magnolia West High School,,,,,University of Oklahoma,2012-2013
13,Durron Neal,http://www.soonersports.com/sports/m-footbl/mtt/neal_durron00.html,5/11/13,201,WR,FR,"St. Louis, Mo. ",St. Louis,MO,De Smet Jesuit High School,,,,,University of Oklahoma,2012-2013
14,Aaron Colvin,http://www.soonersports.com/sports/m-footbl/mtt/colvin_aaron00.html,6/1/00,181,DB,JR,"Owasso, Okla. ",Owasso,OKLA,Owasso High School,,,,,University of Oklahoma,2012-2013
15,Drew Allen,http://www.soonersports.com/sports/m-footbl/mtt/allen_drew00.html,6/5/13,226,QB,JR,"San Antonio, Texas ",San Antonio,TEXAS,Alamo Heights High School,,,,,University of Oklahoma,2012-2013
15,Lamar Harris,http://www.soonersports.com/sports/m-footbl/mtt/harris_lamar00.html,6/1/13,186,DB,SR,"Gilmer, Texas ",Gilmer,TEXAS,Gilmer High School,,,,,University of Oklahoma,2012-2013
16,Jaz Reynolds,http://www.soonersports.com/sports/m-footbl/mtt/reynolds_jaz00.html,6/2/13,198,WR,JR,"Houston, Texas ",Houston,TEXAS,Eisenhower High School,,,,,University of Oklahoma,2012-2013
17,Trey Metoyer,http://www.soonersports.com/sports/m-footbl/mtt/metoyer_trey01.html,6/1/13,190,WR,FR,"Whitehouse, Texas ",Whitehouse,TEXAS,Hargrave Academy Academy,,,,,University of Oklahoma,2012-2013
18,Michael Hunnicutt,http://www.soonersports.com/sports/m-footbl/mtt/hunnicutt_michael00.html,6/1/00,173,K,SO,"Richardson, Texas ",Richardson,TEXAS,Pearce High School,,,,,University of Oklahoma,2012-2013
18,Jalen Saunders,http://www.soonersports.com/sports/m-footbl/mtt/saunders_jalen00.html,5/9/13,160,WR,JR,"Elk Grove, Calif. ",Elk Grove,CALIF,Pleasant Grove High School,Fresno State,,,,University of Oklahoma,2012-2013
19,Justin Brown,http://www.soonersports.com/sports/m-footbl/mtt/brown_justin00.html,6/3/13,209,WR,SR,"Wilmington, Del. ",Wilmington,DEL,Concord High School,Penn State,,,,University of Oklahoma,2012-2013
20,Frank Shannon,http://www.soonersports.com/sports/m-footbl/mtt/shannon_frank00.html,6/1/13,230,LB,RS FR,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,University of Oklahoma,2012-2013
21,Tom Wort,http://www.soonersports.com/sports/m-footbl/mtt/wort_tom00.html,6/1/00,237,LB,JR,"New Braunfels, Texas ",New Braunfels,TEXAS,New Braunfels High School,,,,,University of Oklahoma,2012-2013
21,Austin Brown,http://www.soonersports.com/sports/m-footbl/mtt/brown_austin00.html,6/5/13,204,WR,RS FR,"Buffalo, S.D. ",Buffalo,SD,Sioux Falls,,,,,University of Oklahoma,2012-2013
22,Roy Finch,http://www.soonersports.com/sports/m-footbl/mtt/finch_roy00.html,5/7/13,175,RB,JR,"Niceville, Fla. ",Niceville,FLA,Niceville High School,,,,,University of Oklahoma,2012-2013
22,Cortez Johnson,http://www.soonersports.com/sports/m-footbl/mtt/johnson_cortez00.html,6/2/13,191,DB,SO,"New Orleans, La. ",New Orleans,LA,O. Perry Walker High School,University of Arizona,,,,University of Oklahoma,2012-2013
23,Kass Everett,http://www.soonersports.com/sports/m-footbl/mtt/williams_danzel00.html,5/10/13,180,DB,JR,"Philadelphia, Pa. ",Philadelphia,PA,James Martin High School,Pierce College,,,,University of Oklahoma,2012-2013
23,Danzel Williams,http://www.soonersports.com/sports/m-footbl/mtt/williams_danzel00.html,5/8/13,189,DB,RS FR,"Arlington, Texas ",Arlington,TEXAS,James Martin High School,,,,,University of Oklahoma,2012-2013
24,Brennan Clay,http://www.soonersports.com/sports/m-footbl/mtt/clay_brennan00.html,5/11/13,201,RB,JR,"San Diego, Calif. ",San Diego,CALIF,Scripps Ranch High School,,,,,University of Oklahoma,2012-2013
24,Trey Franks,http://www.soonersports.com/sports/m-footbl/mtt/franks_trey00.html,5/10/13,184,DB,JR,"Orange, Texas ",Orange,TEXAS,West Orange-Stark High School,,,,,University of Oklahoma,2012-2013
25,Aaron Franklin,http://www.soonersports.com/sports/m-footbl/mtt/franklin_aaron00.html,6/1/13,212,LB,SO,"Marshall, Texas ",Marshall,TEXAS,Marshall High School,,,,,University of Oklahoma,2012-2013
25,David Smith,http://www.soonersports.com/sports/m-footbl/mtt/smith_david00.html,5/10/13,193,RB,FR,"Midlothian, Ill. ",Midlothian,ILL,Bremen High School,,,,,University of Oklahoma,2012-2013
26,Zack Sanchez,http://www.soonersports.com/sports/m-footbl/mtt/sanchez_zack00.html,5/11/13,170,DB,FR,"Keller, Texas ",Keller,TEXAS,Central High School,,,,,University of Oklahoma,2012-2013
26,Damien Williams,http://www.soonersports.com/sports/m-footbl/mtt/williams_damien00.html,6/1/00,208,RB,JR,"San Diego, Calif. ",San Diego,CALIF,Mira Mesa High School,Arizona Western,,,,University of Oklahoma,2012-2013
27,Seth Carter,http://www.soonersports.com/sports/m-footbl/mtt/carter_seth00.html,5/9/13,177,WR,SO,"Wichita Falls, Texas ",Wichita Falls,TEXAS,Rider High School,,,,,University of Oklahoma,2012-2013
27,Gary Simon,http://www.soonersports.com/sports/m-footbl/mtt/simon_gary00.html,6/1/13,180,DB,FR,"St. Petersburg, Fla. ",St. Petersburg,FLA,Gibbs High School,,,,,University of Oklahoma,2012-2013
28,Alex Ross,http://www.soonersports.com/sports/m-footbl/mtt/ross_alex00.html,6/1/13,204,RB,FR,"Jenks, Okla. ",Jenks,OKLA,Jenks High School,,,,,University of Oklahoma,2012-2013
29,Quentin Hayes,http://www.soonersports.com/sports/m-footbl/mtt/hayes_quentin00.html,6/1/00,181,DB,SO,"Lancaster, Texas ",Lancaster,TEXAS,Lancaster High School,,,,,University of Oklahoma,2012-2013
29,Grant Bothun,http://www.soonersports.com/sports/m-footbl/mtt/bothun_grant00.html,5/11/13,183,WR,FR,"Rowlett, Texas ",Rowlett,TEXAS,Rowlett High School,,,,,University of Oklahoma,2012-2013
30,Javon Harris,http://www.soonersports.com/sports/m-footbl/mtt/harris_javon00.html,5/11/13,206,DB,SR,"Lawton, Okla. ",Lawton,OKLA,MacArthur High School,,,,,University of Oklahoma,2012-2013
31,Daniel Franklin,http://www.soonersports.com/sports/m-footbl/mtt/franklin_daniel00.html,6/2/13,224,LB,SR,"Mount Airy, Ga. ",Mount Airy,GA,Habersham Central High School,,,,,University of Oklahoma,2012-2013
32,Marshall Musil,http://www.soonersports.com/sports/m-footbl/mtt/musil_marshall00.html,6/2/13,241,FB,JR,"La Crosse, Kan. ",La Crosse,KAN,La Crosse High School,,,,,University of Oklahoma,2012-2013
33,Trey Millard,http://www.soonersports.com/sports/m-footbl/mtt/millard_trey00.html,6/2/13,256,FB,JR,"Columbia, Mo. ",Columbia,MO,Rock Bridge High School,,,,,University of Oklahoma,2012-2013
34,Daniel Brooks,http://www.soonersports.com/sports/m-footbl/mtt/brooks_daniel00.html,5/8/13,163,RB,FR,"Port Lavaca, Texas ",Port Lavaca,TEXAS,Calhoun High School,,,,,University of Oklahoma,2012-2013
36,Joel Ossom,http://www.soonersports.com/sports/m-footbl/mtt/way_tress00.html,5/9/13,235,FB,SR,"Denton, Texas ",Denton,TEXAS,Ryan High School,,,,,University of Oklahoma,2012-2013
36,Tress Way,http://www.soonersports.com/sports/m-footbl/mtt/way_tress00.html,6/1/13,215,P,SR,"Tulsa, Okla. ",Tulsa,OKLA,Union High School,,,,,University of Oklahoma,2012-2013
37,Dylan Seibert,http://www.soonersports.com/sports/m-footbl/mtt/seibert_dylan00.html,6/3/13,215,P,RS FR,"Tulsa, Okla. ",Tulsa,OKLA,Booker T. Washington High School,,,,,University of Oklahoma,2012-2013
37,Chris Booker,http://www.soonersports.com/sports/m-footbl/mtt/booker_chris00.html,5/7/13,165,WR,FR,"Houston, Texas ",Houston,TEXAS,Waller High School,,,,,University of Oklahoma,2012-2013
38,Jack Steed,http://www.soonersports.com/sports/m-footbl/mtt/steed_jack00.html,6/4/13,200,K,FR,"Katy, Texas ",Katy,TEXAS,Cinco Ranch High School,,,,,University of Oklahoma,2012-2013
38,Brandon Young,http://www.soonersports.com/sports/m-footbl/mtt/young_brandon00.html,5/10/13,173,DB,SO,"Frisco, Texas ",Frisco,TEXAS,Frisco High School,,,,,University of Oklahoma,2012-2013
39,Nick Hodgson,http://www.soonersports.com/sports/m-footbl/mtt/hodgson_nick00.html,6/2/13,189,K,SO,"N. Richland Hills, Texas ",N. Richland Hills,TEXAS,N. Richland Hills High School,,,,,University of Oklahoma,2012-2013
40,P.L. Lindley,http://www.soonersports.com/sports/m-footbl/mtt/lindley_pl00.html,6/2/13,240,LB,RS FR,"Round Rock, Texas ",Round Rock,TEXAS,Stony Point High School,,,,,University of Oklahoma,2012-2013
41,Eric Striker,http://www.soonersports.com/sports/m-footbl/mtt/striker_eric00.html,6/1/00,198,LB,FR,"Seffner, Fla. ",Seffner,FLA,Armwood High School,,,,,University of Oklahoma,2012-2013
42,Jesse Paulsen,http://www.soonersports.com/sports/m-footbl/mtt/paulsen_jesse00.html,6/1/00,193,DB,GR,"Albuquerque, N.M. ",Albuquerque,NM,Albuquerque Manzano High School,New Mexico,,,,University of Oklahoma,2012-2013
43,Patrick O'Hara,http://www.soonersports.com/sports/m-footbl/mtt/ohara_patrick01.html,5/11/13,200,K,SR,"Topeka, Kan. ",Topeka,KAN,Topeka High School,Washburn,,,,University of Oklahoma,2012-2013
44,Jaydan Bird,http://www.soonersports.com/sports/m-footbl/mtt/bird_jaydan00.html,6/2/13,236,LB,SR,"Wichita, Kan. ",Wichita,KAN,Conway Springs High School,,,,,University of Oklahoma,2012-2013
45,Caleb Gastelum,http://www.soonersports.com/sports/m-footbl/mtt/gastelum_caleb00.html,6/1/13,196,LB,SO,"Claremore, Okla. ",Claremore,OKLA,Home Schooled,,,,,University of Oklahoma,2012-2013
46,Eric Doughtie,http://www.soonersports.com/sports/m-footbl/mtt/doughtie_eric00.html,6/1/00,197,DB,FR,"Sugarland, Texas ",Sugarland,TEXAS,Fort Bend Christian Academy,,,,,University of Oklahoma,2012-2013
47,Eric Hosek,http://www.soonersports.com/sports/m-footbl/mtt/hosek_eric00.html,5/10/13,150,K,RS FR,"Sherman, Texas ",Sherman,TEXAS,Sherman High School,,,,,University of Oklahoma,2012-2013
48,Aaron Ripkowski,http://www.soonersports.com/sports/m-footbl/mtt/ripkowski_aaron00.html,6/1/13,260,FB,SO,"Dayton, Texas ",Dayton,TEXAS,Dayton High School,,,,,University of Oklahoma,2012-2013
49,David Driskill,http://www.soonersports.com/sports/m-footbl/mtt/driskill_david00.html,6/1/13,239,DE,SO,"Oklahoma City, Okla. ",Oklahoma City,OKLA,Casady High School,,,,,University of Oklahoma,2012-2013
50,Austin Woods,http://www.soonersports.com/sports/m-footbl/mtt/woods_austin00.html,6/4/13,293,OL,JR,"Rockwall, Texas ",Rockwall,TEXAS,Rockwall-Heath High School,,,,,University of Oklahoma,2012-2013
51,Kaleb Thompson,http://www.soonersports.com/sports/m-footbl/mtt/thompson_kaleb00.html,5/11/13,200,LB,FR,"Moore, Okla. ",Moore,OKLA,Southmoore High School,,,,,University of Oklahoma,2012-2013
52,John-Philip Hughes,http://www.soonersports.com/sports/m-footbl/mtt/hughes_johnphilip00.html,6/4/13,250,OL,RS FR,"Tulsa, Okla. ",Tulsa,OKLA,Edison High School,,,,,University of Oklahoma,2012-2013
53,Casey Walker,http://www.soonersports.com/sports/m-footbl/mtt/walker_casey00.html,6/2/13,309,DT,SR,"Garland, Texas ",Garland,TEXAS,Garland High School,,,,,University of Oklahoma,2012-2013
54,Nila Kasitati,http://www.soonersports.com/sports/m-footbl/mtt/kasitati_nila00.html,6/4/13,309,OL,RS FR,"Euless, Texas ",Euless,TEXAS,Trinity High School,,,,,University of Oklahoma,2012-2013
56,Ty Darlington,http://www.soonersports.com/sports/m-footbl/mtt/darlington_ty00.html,6/3/13,266,OL,FR,"Apopka, Fla. ",Apopka,FLA,Apopka High School,,,,,University of Oklahoma,2012-2013
58,Paul Pounds,http://www.soonersports.com/sports/m-footbl/mtt/pounds_paul00.html,6/2/13,220,DE,FR,"El Paso, Texas ",El Paso,TEXAS,Coronado High School,,,,,University of Oklahoma,2012-2013
